Orthogroup	wa8730.asm201904v2.ann1.proteins	Sp9509_oxford_v3.proteins
OG0000096	Wa8730a002g000110_P001	Sp11g00406
OG0000096	Wa8730a003g002660_P001, Wa8730a009g006080_P001	Sp01g00195, Sp02g01288
OG0000097	Wa8730a019g002010_P001	Sp06g00328
OG0000097	Wa8730a009g003090_P001	Sp10g00834
OG0000097	Wa8730a002g001680_P001	Sp02g01042
OG0000097	Wa8730a006g006060_P001	Sp04g01329
OG0000098	Wa8730a014g005590_P001	Sp09g00321, Sp09g00319
OG0000098	Wa8730a014g005570_P001, Wa8730a014g005580_P001	Sp02g00807, Sp02g00808, Sp20g00235
OG0000099	Wa8730a009g000600_P001, Wa8730a001g011310_P001, Wa8730a001g007920_P001, Wa8730a014g006440_P001, Wa8730a017g003740_P001	Sp09g00188, Sp20g00077, Sp02g00442
OG0000100	Wa8730a006g000680_P001, Wa8730a006g000670_P001, Wa8730a006g000410_P001, Wa8730a006g000390_P001, Wa8730a006g000400_P001, Wa8730a006g000650_P001, Wa8730a006g000660_P001	Sp16g00636
OG0000101	Wa8730a018g003200_P001	Sp06g00887
OG0000101	Wa8730a003g002920_P001	Sp03g00524
OG0000102	Wa8730a016g000730_P001, Wa8730a004g000040_P001, Wa8730a016g000720_P001, Wa8730a004g000020_P001, Wa8730a016g000710_P001, Wa8730a016g000750_P001, Wa8730a016g000780_P001	Sp04g01248, Sp18g00614
OG0000103	Wa8730a008g005110_P001	Sp17g00183, Sp17g00209, Sp17g00206, Sp17g00199
OG0000104	Wa8730a005g007690_P001, Wa8730a005g007900_P001, Wa8730a005g007790_P001, Wa8730a005g007830_P001, Wa8730a005g007940_P001, Wa8730a005g007870_P001, Wa8730a005g007850_P001	Sp18g00354
OG0000105	Wa8730a002g001370_P001	Sp02g01013
OG0000105	Wa8730a004g005150_P001	Sp17g00525, Sp17g00414, Sp17g00454, Sp13g00906
OG0000106	Wa8730a020g000850_P001	Sp13g00576
OG0000106	Wa8730a005g002540_P001	Sp08g00934
OG0000106	Wa8730a014g001280_P001	Sp09g00973, Sp03g00618
OG0000107	Wa8730a009g004350_P002, Wa8730a009g004350_P001, Wa8730a009g004130_P001	Sp10g00503, Sp10g00527, Sp10g00533, Sp08g00066
OG0000108	Wa8730a008g002260_P001, Wa8730a008g002250_P001	Sp07g00263, Sp07g00269, Sp07g00265, Sp07g00267, Sp07g00270, Sp07g00262, Sp07g00260
OG0000109	Wa8730a012g000750_P001	Sp04g00168
OG0000109	Wa8730a007g000790_P001	Sp16g00109
OG0000109	Wa8730a020g000220_P001	Sp10g00335, Sp07g00476
OG0000110	Wa8730a001g005150_P001	Sp01g01202
OG0000110	Wa8730a016g000060_P001	Sp18g00748
OG0000110	Wa8730a016g003890_P001	Sp03g01049
OG0000111	Wa8730a001g000540_P001	Sp01g00546
OG0000111	Wa8730a018g001980_P001, Wa8730a009g003060_P001	Sp01g01170, Sp10g00860, Sp06g01024
OG0000112	Wa8730a006g002920_P001, Wa8730a003g001090_P002, Wa8730a003g001090_P001	Sp01g00075, Sp05g00985, Sp12g00766, Sp03g00214
OG0000113	Wa8730a007g008770_P001, Wa8730a007g008650_P001, Wa8730a007g008660_P001, Wa8730a007g008670_P001, Wa8730a007g003300_P001, Wa8730a009g001750_P001	Sp04g00127, Sp06g00208
OG0000114	Wa8730a002g001440_P001, Wa8730a003g000130_P001, Wa8730a003g003870_P001, Wa8730a003g003850_P001, Wa8730a003g003940_P001	Sp20g00371, Sp02g01017
OG0000115	Wa8730a011g004900_P001	Sp11g00730
OG0000115	Wa8730a010g003200_P001	Sp11g00729
OG0000116	Wa8730a004g005650_P001, Wa8730a004g005620_P001, Wa8730a004g005630_P001	Sp14g00048, Sp19g00449, Sp19g00451, Sp19g00450
OG0000117	Wa8730a003g002690_P001	Sp03g00496
OG0000117	Wa8730a013g001530_P001	Sp14g00505
OG0000117	Wa8730a011g005240_P001	Sp11g00832
OG0000118	Wa8730a009g001380_P001, Wa8730a008g003840_P001, Wa8730a009g001370_P001, Wa8730a008g003800_P001, Wa8730a008g003770_P001, Wa8730a008g003790_P001	Sp17g00169
OG0000119	Wa8730a002g003800_P001, Wa8730a002g003770_P001	Sp02g00926, Sp02g00927, Sp02g00925, Sp02g00921, Sp02g00923
OG0000122	Wa8730a005g000270_P001	Sp08g01267
OG0000122	Wa8730a004g003520_P001	Sp13g00681
OG0000122	Wa8730a004g003530_P001	Sp13g00708
OG0000123	Wa8730a011g003450_P001	Sp11g00495
OG0000123	Wa8730a006g001850_P001	Sp02g00214, Sp13g00693, Sp16g00469
OG0000124	Wa8730a010g002010_P001	Sp05g00341, Sp06g01186, Sp13g00449
OG0000124	Wa8730a010g000420_P001, Wa8730a004g001760_P001	Sp05g00061
OG0000125	Wa8730a005g007190_P001	Sp08g00263
OG0000125	Wa8730a019g002890_P001	Sp06g00486
OG0000126	Wa8730a010g000870_P001	Sp05g00175
OG0000126	Wa8730a014g002100_P001	Sp09g00857
OG0000126	Wa8730a005g001920_P001, Wa8730a005g001920_P002	Sp08g01039
OG0000127	Wa8730a003g000200_P001	Sp01g00011, Sp03g00034
OG0000128	Wa8730a005g004140_P001	Sp08g00662
OG0000128	Wa8730a004g005380_P001	Sp05g00304, Sp05g00662, Sp13g00100, Sp19g00496
OG0000129	Wa8730a005g006960_P001	Sp08g00298
